date,momentum_tickers,qv_tickers
1999-01-29,,
1999-02-26,,
1999-03-31,,
1999-04-30,,
1999-05-28,,
1999-06-30,,
1999-07-30,,
1999-08-31,,
1999-09-30,,
1999-10-29,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,QCOM;VRSN;BIIB;INCY;NTAP;LRCX;GLW;SWKS;ADI;ORCL;AAPL;TECH;GEN;AES;ADBE;TXN;AMAT;TRMB;KLAC;COO;CPRT;APH;AMGN;TER;MCHP,
2000-03-31,QCOM;INCY;VRSN;NTAP;SWKS;REGN;ADI;BIIB;LRCX;GEN;ORCL;ADBE;AAPL;TXN;GLW;TER;TECH;CTSH;MCHP;VRTX;AMAT;KLAC;TRMB;RVTY;NVDA,
2000-04-28,QCOM;ORCL;SWKS;NTAP;ADI;CTSH;GEN;REGN;VRSN;LRCX;INCY;AMD;ADBE;NVDA;AAPL;BIIB;TXN;GLW;KLAC;AMAT;TER;RMD;CSCO;TRMB;MU,
2000-05-31,ORCL;NTAP;AMD;NVDA;VRSN;CTSH;TER;QCOM;REGN;LRCX;INCY;ADI;ADBE;AMAT;APH;GLW;MU;GEN;TXN;SWKS;TRMB;VRTX;KLAC;TECH;RMD,
2000-06-30,NVDA;VRSN;NTAP;ORCL;AMD;CTSH;ADI;MU;LRCX;GLW;VRTX;TECH;TRMB;REGN;SWKS;ADBE;TER;BIIB;AMAT;TXN;GEN;FFIV;APH;QCOM;LH,
2000-07-31,NVDA;NTAP;TECH;SBAC;AMD;ORCL;VRTX;MU;VRSN;TRMB;GLW;REGN;APH;ADI;DGX;ADBE;BIIB;INCY;LH;CTSH;JKHY;LRCX;AMAT;WAT;AMGN,
2000-08-31,NVDA;NTAP;VRSN;VRTX;ORCL;DGX;AMD;SBAC;TECH;GLW;LH;CTSH;REGN;TRMB;INCY;BIIB;ADI;ADBE;MU;PAYX;JBL;APH;WAT;RMD;PWR,
2000-09-29,NTAP;NVDA;VRTX;GLW;REGN;ORCL;DGX;LH;SBAC;VRSN;TRMB;ADI;AMD;CTSH;TECH;INCY;PWR;JBL;APH;RVTY;JKHY;RMD;ADBE;IVZ;MS,
2000-10-31,NVDA;NTAP;VRTX;LH;DGX;INCY;GLW;SBAC;REGN;UHS;TECH;BIIB;VRSN;ADI;ORCL;ADBE;WAT;IVZ;RVTY;AMD;BLK;UNH;AES;CB;CTSH,
