Date,Turnover_sum,Cost_sum,adds,drops,kept
1999-01-31,0.0,0.0,0,0,0
1999-02-28,0.0,0.0,0,0,0
1999-03-31,0.0,0.0,0,0,0
1999-04-30,0.0,0.0,0,0,0
1999-05-31,0.0,0.0,0,0,0
1999-06-30,0.0,0.0,0,0,0
1999-07-31,0.0,0.0,0,0,0
1999-08-31,0.0,0.0,0,0,0
1999-09-30,0.0,0.0,0,0,0
1999-10-31,0.0,0.0,0,0,0
1999-11-30,0.0,0.0,0,0,0
1999-12-31,0.0,0.0,0,0,0
2000-01-31,0.0,0.0,0,0,0
2000-02-29,0.5,0.00075,100,0,0
2000-03-31,0.20999999999999996,0.00031499999999999996,21,21,79
2000-04-30,0.1499999999999999,0.00022499999999999986,15,15,85
2000-05-31,0.16999999999999993,0.0002549999999999999,17,17,83
2000-06-30,0.08999999999999997,0.00013499999999999995,9,9,91
2000-07-31,0.14999999999999997,0.00022499999999999997,15,15,85
2000-08-31,0.15999999999999998,0.00023999999999999998,16,16,84
2000-09-30,0.13999999999999996,0.00020999999999999995,14,14,86
2000-10-31,0.19999999999999996,0.0002999999999999999,20,20,80
2000-11-30,0.15999999999999995,0.00023999999999999992,16,16,84
2000-12-31,0.22000000000000006,0.0003300000000000001,22,22,78
2001-01-31,0.21000000000000002,0.000315,21,21,79
2001-02-28,0.22000000000000003,0.00033000000000000005,22,22,78
2001-03-31,0.3500000000000001,0.0005250000000000002,35,35,65
2001-04-30,0.24000000000000002,0.00036,24,24,76
2001-05-31,0.26,0.00039000000000000005,26,26,74
2001-06-30,0.18000000000000005,0.00027000000000000006,18,18,82
2001-07-31,0.2799999999999999,0.0004199999999999999,28,28,72
2001-08-31,0.26,0.00039000000000000005,26,26,74
2001-09-30,0.15000000000000002,0.00022500000000000005,15,15,85
2001-10-31,0.25,0.000375,25,25,75
2001-11-30,0.27,0.00040500000000000003,27,27,73
2001-12-31,0.18999999999999995,0.00028499999999999993,19,19,81
2002-01-31,0.22999999999999995,0.00034499999999999993,23,23,77
2002-02-28,0.21999999999999995,0.00032999999999999994,22,22,78
2002-03-31,0.18000000000000005,0.00027000000000000006,18,18,82
2002-04-30,0.24,0.00035999999999999997,24,24,76
2002-05-31,0.24,0.00035999999999999997,24,24,76
2002-06-30,0.18999999999999995,0.00028499999999999993,19,19,81
2002-07-31,0.22000000000000003,0.00033000000000000005,22,22,78
2002-08-31,0.2899999999999999,0.0004349999999999999,29,29,71
2002-09-30,0.15000000000000002,0.00022500000000000005,15,15,85
2002-10-31,0.33999999999999997,0.0005099999999999999,34,34,66
2002-11-30,0.30999999999999994,0.0004649999999999999,31,31,69
2002-12-31,0.23999999999999996,0.00035999999999999997,24,24,76
2003-01-31,0.26999999999999996,0.000405,27,27,73
2003-02-28,0.29,0.000435,29,29,71
2003-03-31,0.19999999999999998,0.0003,20,20,80
2003-04-30,0.19999999999999996,0.0002999999999999999,20,20,80
2003-05-31,0.23999999999999996,0.00035999999999999997,24,24,76
2003-06-30,0.21999999999999995,0.00032999999999999994,22,22,78
2003-07-31,0.31,0.000465,31,31,69
2003-08-31,0.25,0.000375,25,25,75
2003-09-30,0.19000000000000006,0.0002850000000000001,19,19,81
2003-10-31,0.22999999999999998,0.000345,23,23,77
