date,momentum_tickers,qv_tickers
1999-01-29,,
1999-02-26,,
1999-03-31,,
1999-04-30,,
1999-05-28,,
1999-06-30,,
1999-07-30,,
1999-08-31,,
1999-09-30,,
1999-10-29,,
1999-11-30,,
1999-12-31,,
2000-01-31,,
2000-02-29,QCOM;VRSN;BIIB;INCY;NTAP;LRCX;GLW;SWKS;ADI;ORCL;AAPL;TECH;GEN;AES;ADBE;TXN;AMAT;TRMB;KLAC;COO;CPRT;APH;AMGN;TER;MCHP;APA;INTU;MSI;ZBRA;CTSH;NVDA;EA;CSCO;LH;DGX;EXPD;RVTY;FCX;POOL;JBL;EBAY;PTC;AXP;REGN;WAT;C;JKHY;ROP;MS;MMC,
2000-03-31,QCOM;INCY;VRSN;NTAP;SWKS;REGN;ADI;BIIB;LRCX;GEN;ORCL;ADBE;AAPL;TXN;GLW;TER;TECH;CTSH;MCHP;VRTX;AMAT;KLAC;TRMB;RVTY;NVDA;CSCO;MSI;EA;ZBRA;APH;LH;CCI;AES;AMD;JBL;RMD;COO;INTC;HPQ;AMGN;CSGP;AMT;PTC;POOL;CPRT;WAT;TTWO;JKHY;INTU;CHRW,
2000-04-28,QCOM;ORCL;SWKS;NTAP;ADI;CTSH;GEN;REGN;VRSN;LRCX;INCY;AMD;ADBE;NVDA;AAPL;BIIB;TXN;GLW;KLAC;AMAT;TER;RMD;CSCO;TRMB;MU;RVTY;MCHP;APH;PWR;TECH;LH;AES;INTC;POOL;AMT;JBL;VRTX;MSI;HPQ;COO;ZBRA;APA;JKHY;CCI;EQT;DLTR;DVN;MS;DGX;DECK,
2000-05-31,ORCL;NTAP;AMD;NVDA;VRSN;CTSH;TER;QCOM;REGN;LRCX;INCY;ADI;ADBE;AMAT;APH;GLW;MU;GEN;TXN;SWKS;TRMB;VRTX;KLAC;TECH;RMD;AAPL;DGX;CSCO;LH;BIIB;JKHY;MCHP;PWR;COO;AMT;POOL;INTC;CPRT;AMGN;CCI;WAT;HPQ;BBY;JBL;AES;EQT;RVTY;CHRW;MDT;MS,
